ID,scode,sname,sem,dept,credit
,15UCE603,Design of Steel Structures,6,CIVIL,4
,15UCE901,Professional Elective,6,CIVIL,3
,15UCE923,Prestressed Concrete Structures,6,CIVIL,3
,15UCE608,Technical Project,6,CIVIL,3
,15UGR973,Open Elective,7,CIVIL,3
,15UCE865,CONSTRUCTION SAFETY AND MANAGEMENT,7,CIVIL,1
,15UCE872,Special Concretes,7,CIVIL,1
,15UCE706,Concrete and Highway Engineering Laboratory,7,CIVIL,1
,15UCE707,Software Application Laboratory,7,CIVIL,1
,15UGS731,Personality and Social Development,7,CIVIL,0
,15UGS732,Skills Development,7,CIVIL,0
,15UCE701,Design of Reinforced Concrete and Brick Masonry Structures,7,CIVIL,3
,15UCE702,Estimation Costing and Valuation Engineering,7,CIVIL,3
,15UCE703,Structural Dynamics and Earthquake Engineering,7,CIVIL,4
,15UCE902,Concrete Technology,7,CIVIL,3
,15UCS107,Computer Programming,1,ECE,3
,15UCS109,Computer Programming Laboratory,1,ECE,1
,15UCS111,Engineering Fundamentals Laboratory,1,ECE,1
,15UCY105,Applied Chemistry,1,ECE,3
,15UEN101,Technical English,1,ECE,2
,15UGS112,Basic Sciences Laboratory - I,1,ECE,1
,15UMA102,Engineering Mathematics - I,1,ECE,4
,15UME108,Engineering Graphics,1,ECE,4
,15UPH103,Engineering Physics,1,ECE,3
,15UPH205,Semiconductor Physics and Opto Electronics,2,ECE,3
,15UEC208,Electronic Devices,2,ECE,3
,15UEC209,Basic Electronic Measurements,2,ECE,3
,15UEC211,Electronic Devices Laboratory,2,ECE,1
,15UEN201,Business English and Presentation Skills,2,ECE,3
,15UMA202,Engineering Mathematics - II,2,ECE,4
,15UCY207,Environmental Science,2,ECE,3
,15UGS210,Basic Sciences Laboratory - II,2,ECE,1
,15UMA321,Transforms and Partial Differential Equations,3,ECE,4
,15UEC302,Digital Electronics and Design,3,ECE,3
,15UEC303,Circuit Theory,3,ECE,4
,15UEC304,Electronic Circuits,3,ECE,3
,15UEC305,Analog Communication,3,ECE,3
,15UEC307,Digital Electronics Laboratory,3,ECE,1
,15UEC308,Circuits Laboratory,3,ECE,1
,15UIT326,Data Structures and Algorithm Analysis,3,ECE,4
,15UGS331,Value Education and Human Rights,3,ECE,0
,15UEC862,PCB Design,3,ECE,1
,15UEC402,Analog Circuits,4,ECE,3
,15UEC403,Electromagnetic Fields,4,ECE,3
